"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"903356020264759296","","","2017-08-31 20:37:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","In what area do the two buggies collide? See previous tweet for the video. #D118Life @BulldogLife_WHS #gobulldoglife","","","",""
"903355780627300352","","","2017-08-31 20:36:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Your eyes needed! 
Controversy: Due to video interference, the exact position of this collision is under review.
Weigh in! (See next tweet) https://t.co/PfnpcCtbwm","","","","https://twitter.com/MrWSci/status/903355780627300352/video/1"
"903343576729485312","","","2017-08-31 19:47:46 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @WaucondaTennis: Vote for Sarah Hackman for Athlete of the Month https://t.co/JcQPgsZivJ","903316983374106624","2566563218","2017-08-31 18:02:06 +0000","http://aotm.8to18.com/Zone3,http://aotm.8to18.com/Zone3"
"903314096908623874","903311278147502080","3243586368","2017-08-31 17:50:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@CoachLandvick @ClassOf2019_WHS @BulldogLife_WHS Dang it! I missed out on the photo. Don't worry, I fixed it. https://t.co/nJ5Rtqw4u7","","","","https://twitter.com/MrWSci/status/903314096908623874/photo/1"
"903312785093922816","","","2017-08-31 17:45:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Physics today- Do buggies move with constant speed? 
Prove it with data! 
Tomorrow we'll graph and analyze. 📈🤓🚗
#BulldogPhysics #D118Life https://t.co/DGlPdStOKN","","","","https://twitter.com/MrWSci/status/903312785093922816/photo/1,https://twitter.com/MrWSci/status/903312785093922816/photo/1,https://twitter.com/MrWSci/status/903312785093922816/photo/1"
"903285032764280833","","","2017-08-31 15:55:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AP Lab Practicum testing today! 
Where will two buggies collide? It's safe to say it was a smashing success. #D118Life #BulldogPhysics https://t.co/2LxWb589JE","","","","https://twitter.com/MrWSci/status/903285032764280833/video/1"
"903091329923784704","","","2017-08-31 03:05:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @rutherfordcasey: Gonna make a new poster for my rooms. https://t.co/pp5tfSICrD","903049563921113089","261339400","2017-08-31 00:19:28 +0000","https://twitter.com/rutherfordcasey/status/903049563921113089/photo/1,https://twitter.com/rutherfordcasey/status/903049563921113089/photo/1"
"902980780552593408","","","2017-08-30 19:46:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GoWHSVolleyball: Home Game Tonight 💜🏐💛 vs. Warren come out and the 🏐 teams in action! @BulldogLife_WHS @GoWHSAthletics https://t.co/AVv…","902925368180559874","3331828672","2017-08-30 16:05:57 +0000","https://twitter.com/GoWHSVolleyball/status/902925368180559874/photo/1,https://twitter.com/GoWHSVolleyball/status/902925368180559874/photo/1,https://twitter.com/GoWHSVolleyball/status/902925368180559874/photo/1"
"902973679612682240","","","2017-08-30 19:17:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lab practicums be busy. #BulldogPhysics #D118Life https://t.co/UXsb6zdkLh","","","","https://twitter.com/MrWSci/status/902973679612682240/video/1"
"902916611560103941","","","2017-08-30 15:31:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","What's happening? The first lab practicum in AP Physics 1! 
Where will tumble buggies collide? #modphys #D118Life @BulldogLife_WHS https://t.co/zxxnGo5Qqt","","","","https://twitter.com/MrWSci/status/902916611560103941/video/1"
"902719409789300736","","","2017-08-30 02:27:33 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","""for every""
Solid advice to understand what those units really mean. Shout out (again) to @AMTAteachers &amp; #modphys for intro-ing this to me. https://t.co/jsKLEi3kCf","","","","https://twitter.com/fpoodry/status/902709156854939648"
"902718686477381637","","","2017-08-30 02:24:41 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I second this! In my short time at WHS she's definitely spent more than enough time troubleshooting my problems with a smile. https://t.co/U96Vwrihyb","","","","https://twitter.com/WHSFlanigan/status/902684103857901568"
"902717377393156096","902717013990285312","894951968967458817","2017-08-30 02:19:29 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@grayer_mist And. Crap. I'm replying from my school acct, my more active alter-ego is @WillyB.
 ¯\_(ツ)_/¯","","","",""
"902717013990285312","902716838152417281","894951968967458817","2017-08-30 02:18:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@grayer_mist Biggest difference is I don't create shared folders w/ each student anymore bc Google Classroom can handle that.","","","",""
"902716838152417281","902716026885992448","894951968967458817","2017-08-30 02:17:20 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@grayer_mist More thorough treatment is here:
https://t.co/9UBQN0w1GT

That description is a few years old, but mostly stayed the same.","","","","http://blog.benwildeboer.com/2014/gdrive-lab-report-workflow/"
"902716026885992448","902715691916288001","894951968967458817","2017-08-30 02:14:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@grayer_mist If you add a period to a cell it changes color and then a formula auto adds the points earned. I'll drop a link to the rubric into Ss GDoc","","","",""
"902715691916288001","902681541268054016","262654252","2017-08-30 02:12:47 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@grayer_mist Here's what I use for a lab rubric- I have GClassroom (or Doctopus back in the day) make copies for each student: https://t.co/UXF4ZP8KU5","","","","https://docs.google.com/spreadsheets/d/1rQgM_2IsU2DcNaipqGKQuIL8G_m82R2q9-tnBIMinZM/edit#gid=63425625"
"902711799841161216","","","2017-08-30 01:57:19 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @dgende: You teach physics? register for tomorrow's @AAPTHQ webinar The Nuanced Universe https://t.co/AauX7CTorc featuring @bohacekp and…","902282015197630464","52585537","2017-08-28 21:29:30 +0000","https://goo.gl/xHeZQs,https://goo.gl/xHeZQs"
"902625030449885184","902570483744428032","771417880709636096","2017-08-29 20:12:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@WHS_CoachJacobs  https://t.co/mRemHqACxX","","","","https://twitter.com/MrWSci/status/902625030449885184/photo/1"
"902519668900069376","902514721915641856","899076483301486592","2017-08-29 13:13:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@LuetschA If you also feel like teaching students how to carry desserts on trays...I'm next door...","","","",""
"902518756378902529","","","2017-08-29 13:10:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @KimFreudenberg: Buggy Lab gallery walk and planting seeds for proportional reasoning! https://t.co/voCL6Mdrvh
#iteachphysics #modphys #…","902414682182434816","3325211432","2017-08-29 06:16:40 +0000","https://modelingin203.wordpress.com/2017/08/29/day-5-gallery-walk/,https://modelingin203.wordpress.com/2017/08/29/day-5-gallery-walk/"
"902509991910928384","","","2017-08-29 12:35:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Mrs_Yost8: @BulldogLife_WHS @WHS_CoachJacobs @APPAPAH Come support R soccer players @ the Alonso Sanchez Memorial Tournament today at h…","902506364576178176","3875763263","2017-08-29 12:20:59 +0000","https://twitter.com/Mrs_Yost8/status/902506364576178176/photo/1"
"902256484985303040","","","2017-08-28 19:48:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Did you know Google can generate random numbers for you? I didn't until about 7 seconds ago:
https://t.co/gKCCWgbdOT","","","","https://www.google.com/search?q=random+number+generator&rlz=1CAACAR_enUS757US757&oq=random+&aqs=chrome.0.69i59j69i61j69i57j69i61j0l2.2653j0j7&sourceid=chrome&ie=UTF-8"
"902244828645380096","","","2017-08-28 19:01:44 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hey, AP Physics 1! Your buggy lab reports are all scored! Revisions are due Wed at the end of the day. Email me when you're done revising.","","","",""
"902203700155908096","","","2017-08-28 16:18:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","First quiz in AP Physics 1 today! #Artsy #ActuallyJustOutOfFocus https://t.co/MwFEIZq9o4","","","","https://twitter.com/MrWSci/status/902203700155908096/photo/1"
"901626816808542210","","","2017-08-27 02:05:59 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Wauc_Boosters: @Wauconda60084 @BulldogLife_WHS @WaucondaHS118 @GoWHSAthletics not too shabby? https://t.co/WdujcRihDj","901598560520728576","3207241474","2017-08-27 00:13:42 +0000","https://twitter.com/Wauc_Boosters/status/901598560520728576/photo/1,https://twitter.com/Wauc_Boosters/status/901598560520728576/photo/1,https://twitter.com/Wauc_Boosters/status/901598560520728576/photo/1,https://twitter.com/Wauc_Boosters/status/901598560520728576/photo/1"
"901253016753508355","","","2017-08-26 01:20:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Mrs_Yost8: Wauconda-Look at that 💦 tower! Wouldn't it B nice 4 Wauconda 2 have 1 w/Buster or ""Home of the Bulldogs""? @Wauconda60084 @Bu…","901245659407421440","3875763263","2017-08-26 00:51:24 +0000","https://twitter.com/wauconda_pride/status/901238157819215873"
"901238898210336768","","","2017-08-26 00:24:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @wauconda_pride: first friday night lights #fnl 🏈 @BulldogLife_WHS https://t.co/L57BCWVwtg","901238157819215873","894997222282199040","2017-08-26 00:21:35 +0000","https://twitter.com/wauconda_pride/status/901238157819215873/photo/1,https://twitter.com/wauconda_pride/status/901238157819215873/photo/1,https://twitter.com/wauconda_pride/status/901238157819215873/photo/1,https://twitter.com/wauconda_pride/status/901238157819215873/photo/1"
"901208213336535041","","","2017-08-25 22:22:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GOWHS_FOOTBALL: Varsity Football https://t.co/rYoo9V7mr9

Tonight's Game will be Aired by Richmond-Burton High School","901188184805126145","2584780470","2017-08-25 21:03:01 +0000","https://shar.es/1Sh6OW,https://shar.es/1Sh6OW"
"901208159066484736","901188184805126145","2584780470","2017-08-25 22:22:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GOWHS_FOOTBALL This is good news! I won't be able to get to the game tonight bc of this little scooter, but now I can peek in! https://t.co/WHHK09IuKY","","","","https://twitter.com/MrWSci/status/901208159066484736/video/1"
"901174030287466496","","","2017-08-25 20:06:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Day 8: (White)Board meetings! Groups are explaining rankings for avg velocity on x-t graphs.
#teach180 #modphys #D118Life #BulldogPhysics https://t.co/2Pzxys0W9A","","","","https://twitter.com/MrWSci/status/901174030287466496/photo/1"
"900807688329801728","900778526475005953","741251584311451648","2017-08-24 19:51:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@BelcherPhys I like the idea of interweaving rotational &amp; linear. Hmm...","","","",""
"900501183571398656","","","2017-08-23 23:33:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @MrsChaseEnglish: Such powerful discussions with my sophomores while they worked on writing their own ""This I Believe"" stories, I came h…","900465074829238272","765940631285952513","2017-08-23 21:09:38 +0000",""
"900365392035553280","","","2017-08-23 14:33:32 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Mrs_Yost8: @Wauconda60084 @BulldogLife_WHS ""Roses are red, Violets are blue...Please put Buster on the new water tower!!!"" https://t.co…","900330573906022400","3875763263","2017-08-23 12:15:10 +0000","https://twitter.com/Mrs_Yost8/status/900330573906022400/photo/1"
"900170451359588352","","","2017-08-23 01:38:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Wauc_Boosters: @Wauconda60084 @BulldogLife_WHS @GoWHSAthletics @WaucondaHS118 
Like and retweet if you agree! https://t.co/q0gDnUGW49","899626037960728576","3207241474","2017-08-21 13:35:36 +0000","https://twitter.com/Wauc_Boosters/status/899626037960728576/photo/1,https://twitter.com/Wauc_Boosters/status/899626037960728576/photo/1"
"900140499771805700","","","2017-08-22 23:39:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Mrs_Yost8: Freshmen Bulldog Soccer team takes the lead with 5 minutes left!!! Go Dogs!!!!💜⚽️💛","900127515276189697","3875763263","2017-08-22 22:48:17 +0000",""
"900105388871344129","","","2017-08-22 21:20:22 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","That's fancy! https://t.co/0dwOGmXInE","","","","https://twitter.com/missrealtweets/status/900102373900787712"
"900056345919062017","","","2017-08-22 18:05:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Baldino_Science: Time to DO SCIENCE! P1 is killing it today! https://t.co/WXHJA0475q","899978716679417856","896033721400406016","2017-08-22 12:57:01 +0000","https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1"
"900056213135732737","","","2017-08-22 18:04:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","After a few tribulations with not-so-great photo centers, I finally have pics of my daughter up. https://t.co/8Rkffg1YMX","","","","https://twitter.com/MrWSci/status/900056213135732737/photo/1"
"900050775648481280","900050098318712832","894951968967458817","2017-08-22 17:43:21 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","If you /really/ want a deep dive (🤓), check out https://t.co/N0MYHsrmrt [PDF alert].
Pages 13-16 discuss the uses of the inventory. #EduNerd","","","","http://modeling.asu.edu/R&E/FCI.PDF"
"900050098318712832","","","2017-08-22 17:40:40 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Today we're taking the Mechanics Inventory in Physics &amp; AP 1. Why? 
1) To help me identify misconceptions
2) To help assess my effectiveness","","","",""
